GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
thalia,org.projects.ThaliaServices,SearchServices,24,162,11,13,3,30,7,9,0,4
thalia,org.projects.ThaliaServices,ShowServices,370,353,37,11,76,67,26,9,3,8
thalia,org.projects.ThaliaServices,SeatingServices,82,383,28,28,24,85,25,9,0,6
thalia,org.projects.ThaliaServices,ReportServices,133,583,24,18,15,97,20,8,1,6
thalia,org.projects.ThaliaServices,TicketServices,5,90,2,10,3,20,2,7,0,3
thalia,org.projects.ThaliaServices,OrderServices,49,654,20,30,13,137,20,12,0,7
thalia,org.projects.Thalia,SeatingInfo,0,26,0,0,0,12,0,6,0,6
thalia,org.projects.Thalia,OrdersReceipt,0,72,0,0,0,29,0,14,0,14
thalia,org.projects.Thalia,ShowInfo,0,65,0,0,0,26,0,11,0,11
thalia,org.projects.Thalia,Seating,0,69,0,2,0,21,0,8,0,7
thalia,org.projects.Thalia,Report,0,109,0,0,0,46,0,28,0,28
thalia,org.projects.Thalia,SeatingShows,48,143,7,7,10,38,13,11,8,9
thalia,org.projects.Thalia,Orders,0,22,0,0,0,9,0,4,0,4
thalia,org.projects.Thalia,Seat,0,51,0,0,0,21,0,9,0,9
thalia,org.projects.Thalia,TheatreSection,0,39,0,0,0,16,0,8,0,8
thalia,org.projects.Thalia,TheatreSeating,0,32,0,0,0,13,0,6,0,6
thalia,org.projects.Thalia,ShowsList,0,10,0,0,0,5,0,3,0,3
thalia,org.projects.Thalia,ShowSections,62,78,4,2,10,27,3,13,0,13
thalia,org.projects.Thalia,Donations,0,72,0,0,0,29,0,14,0,14
thalia,org.projects.Thalia,OrdersSectionReceipt,0,92,0,0,0,37,0,18,0,18
thalia,org.projects.Thalia,Tickets,0,102,0,0,0,41,0,20,0,20
thalia,org.projects.Thalia,Shows,0,233,0,2,0,78,0,30,0,29
thalia,org.projects.Thalia,Order,0,96,0,0,0,39,0,20,0,20
thalia,org.projects.Thalia,SectionInfo,0,158,0,2,0,53,0,21,0,20
thalia,org.projects.Thalia,PatronInfo,0,91,0,0,0,30,0,14,0,14
thalia,org.projects.ThaliaUtility,UtilityDataStore,62,115,3,5,17,24,3,5,1,3
thalia,org.projects.ThaliaUtility,UtilityDataStore.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
thalia,org.projects.ThaliaUtility,UniqueIdGenerator,0,22,0,0,0,5,0,4,0,4
thalia,org.projects.ThaliaUtility,ExclusionStrategyForTickets,233,298,97,95,37,45,54,45,0,3
